"","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"39","AJVpL6L7Zeo","How To Sing Like Your Favorite Artists","Whether you think you can't sing, or if you know you can... you cant. YET! Check out my 2nd Channel for more vlogs: http://www.youtube.com/higatv Follow me ...",2013-05-30 07:21:55,2013-05-30,26460,"none","UCSAUGyc_xA8uYzaIVG6MESQ","nigahiga",44053036,1075224,9980,0,118899,23,NA,"Comédia",44000
"40","Phbe8mEDMe4","The ipod Human","The Apple ipod has taken over the modern day world. We created one even better.",2007-11-11 02:40:48,2007-11-11,9600,"none","UCSAUGyc_xA8uYzaIVG6MESQ","nigahiga",42506516,281885,9581,0,53479,23,NA,"Comédia",42000
"41","iOztnsBPrAA","WARNING: SCARIEST GAME IN YEARS | Five Nights at Freddy's - Part 1","No other game has given me a greater feeling of dread than this one. Five Nights at Freddy's is incredibly unique and takes an approach to horror that I've never ...",2014-08-12 18:23:51,2014-08-12,66180,"none","UC7_YxT-KID8kRbqZo7MyscQ","Markiplier",62333999,513124,25095,0,163728,20,NA,"Jogos",62000
"42","Zz8MCVJb0_k","Five Nights at Freddy's ANIMATED","Watch Five Nights at Freddy's in a whole new way! Watch the SECOND ANIMATION!",2014-09-28 22:03:59,2014-09-28,79380,"none","UC7_YxT-KID8kRbqZo7MyscQ","Markiplier",55531758,397224,8010,0,19052,20,NA,"Jogos",55000
"43","60wLvPWXCCc","SCARIEST GAME EVER MADE | Five Nights at Freddy's 2 - Part 1","Five Nights at Freddy's 2 is HERE and it's SO MUCH SCARIER than before! More FNAF ...",2014-11-10 23:04:31,2014-11-10,83040,"none","UC7_YxT-KID8kRbqZo7MyscQ","Markiplier",35652032,348564,11600,0,99789,20,NA,"Jogos",35000
"44","ndsaoMFz9J4","MEOW","Cats don't go nyan, they go MEOW! WOOF <U+25BB> https://youtu.be/MujRLvZ61jE Behold the result of 8 hours of wasted time in an effort to make the stupidest video I ...",2015-10-15 01:29:45,2015-10-15,5340,"none","UC7_YxT-KID8kRbqZo7MyscQ","Markiplier",35100103,913702,10918,0,85848,15,NA,"Animais de estimação e Animais",35000
"45","JlwCE7UHi88","Markiplier Animated | YANDERE SIMULATOR","Yandere Simulator has been animated by GrittySugar! MORE Animations <U+25BB> http://bitly.com/MarkiplierAnimated Made By <U+25BB> http://bitly.com/GrittySugar Yandere ...",2015-08-21 15:02:36,2015-08-21,54120,"none","UC7_YxT-KID8kRbqZo7MyscQ","Markiplier",32377706,406454,6890,0,34189,20,NA,"Jogos",32000
"46","SXiSVQZLje8","Ariana Grande - Side To Side ft. Nicki Minaj","Side To Side ft. Nicki Minaj (Official Video) Taken from the new album Dangerous Woman Download Now! http://republicrec.co/AriDangerousWoman Listen on ...",2016-08-30 03:00:00,2016-08-30,10800,"none","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo",1136428990,5623761,379692,0,413051,10,NA,"Música",1136000
"47","iS1g8G_njx8","Ariana Grande - Problem ft. Iggy Azalea","Buy now! http://smarturl.it/ArianaMyEvrythnDlxiT?IQid=vevo.cta.problem Google Play: http://goo.gl/n7rey5 Pre-order My Everything and get access to the ...",2014-05-30 20:00:01,2014-05-30,72000,"none","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo",1056003480,4156232,274698,0,265536,10,NA,"Música",1056000
"48","L8eRzOYhLuw","Ariana Grande - Break Free ft. Zedd","Ariana Grande ""My Everything<U+0094> available for download now http://smarturl.it/ArianaMyEvrythnDlxiT.",2014-08-13 00:55:01,2014-08-13,3300,"none","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo",895664909,3513416,277949,0,277961,10,NA,"Música",895000
"49","lf_wVfwpfp8","Ariana Grande - Focus","Focus (Official Video) Download Now! http://republicrec.co/ArianaGrandeFocus Share/Stream Ariana on Spotify: ...",2015-10-30 04:01:00,2015-10-30,14460,"none","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo",740582839,3909739,401756,0,0,10,"en","Música",740000
"50","1ekZEVeXwek","Ariana Grande - Into You","Into You (Official Video) Taken from the new album Dangerous Woman Download Now! http://republicrec.co/AriDangerousWoman Share/Stream more from ...",2016-05-24 04:00:00,2016-05-24,14400,"none","UC0VOyT2OCBKdQhF3BAbZ-1g","ArianaGrandeVevo",542123237,2749593,125777,0,146575,10,NA,"Música",542000
"51","dMR51c1Q5bQ","BEST OF - TOP 500 GOALS","Best Soccer Goals 2012/13 <U+25CB> Football Compilation 2014 - Die sch<f6>nsten Amateur-Tore - Besten YouTuber Freist<f6><df>e <U+25BB> Join #teamfk / Komm ins #teamfk: ...",2014-02-06 12:23:52,2014-02-06,44580,"none","UCC9h3H-sGrvqd2otknZntsQ","freekickerz",33378550,145100,6192,0,5178,17,"en","Esportes",33000
