"","X","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"176",176,"AA-gbKy_ke4","ON S'FAIT UN FIFA ? - CLIP","Un clip pour tous les fans de FIFA ! Allez ! <c9>crit et interpr<e9>t<e9> par CodJordan23, Squeezie et Cyprien. Musique : Nodey / R<e9>alisation : Th<e9>odore Bonnet / Chef ...","2014-11-14 17:57:03","2014-11-14",64620,"none","UCWMYFDuCcvkmPiOf1RP_IKQ","CyprienGaming",26474475,361533,20500,0,27260,10,"fr","Música",26000
"181",181,"4ZHwu0uut3k","Tom Odell - Another Love (Zwette Edit)","TheSoundYouNeed - Music at its finest <U+2716><U+2716> LYRICS in description. ll Facebook : http://on.fb.me/12s8hhw ll Soundcloud : http://bit.ly/Ud6RVg <U+261E> Follow Zwette ...","2013-05-06 13:20:22","2013-05-06",48000,"none","UCudKvbd6gvbm5UCYRk5tZKA","TheSoundYouNeed",143036818,637369,17011,0,15129,10,NA,"Música",143000
"186",186,"1BE9wVnEink","MISTER V - RAP VS R<c9>ALIT<c9>","MAKING OFF DISPO ICI : https://www.youtube.com/watch?v=ZRvNROuseXw&feature=youtu.be ALBUM TOUJOURS DISPONIBLE ...","2016-12-22 18:46:21","2016-12-22",67560,"none","UC8Q0SLrZLiTj5s4qc9aad-w","Mister V",18857612,433133,5523,0,23988,23,"fr","Comédia",18000
"191",191,"rnEkZVxoeoc","FAIRE UN RE<U+00B4>GIME - LE RIRE JAUNE","Les secrets d'un r<e9>gime r<e9>ussi ! Viens Rire Jaune ici ;) <U+25BB> http://facebook.com/LeRireJauneOfficiel Abonne-Toi http://bit.ly/Rire-Jaune <U+2606> Twitter ...","2014-08-31 15:56:08","2014-08-31",57360,"none","UCTt2AnK--mnRmICnf-CCcrw","Le Rire Jaune",15105925,302457,2781,0,26786,23,"fr","Comédia",15000
"196",196,"FUvs2XI6rPc","JE SAIS PAS DANSER! - Natoo","Un grand merci <e0> Waxx, Mathieu Joly et Kemar d'avoir boss<e9> sur ce projet musical. T<e9>l<e9>charge mon appli mobile ici ...","2016-11-18 13:00:19","2016-11-18",46800,"none","UCtihF1ZtlYVzoaj_bKLQZ-Q","Natoo",23307502,430676,31843,0,43711,23,"fr","Comédia",23000
"201",201,"1YBl3Zbt80A","Badri Ki Dulhania (Title Track) Varun, Alia, Tanishk, Neha, Monali, Ikka | ""Badrinath Ki Dulhania""","Badri Ki Dulhania Title Track | Hindi Songs 2017 | 2017 New Songs Presenting new Bollywood song BADRI KI DULHANIA (Title Song) from new Hindi movie ...","2017-02-06 08:28:26","2017-02-06",30480,"none","UCq-Fj5jknLsUf-MWSy4_brA","T-Series",290686980,765023,119384,0,33921,10,"en-GB","Música",290000
"206",206,"IKHWOf0Rgd8","Crime Patrol Dial 100 - <U+0915><U+094D><U+0930><U+093E><U+0907><U+092E> <U+092A><U+0947><U+091F><U+094D><U+0930><U+094B><U+0932> - Dav-Pech - Episode 25 - 23rd November, 2015","In this episode of Crime Patrol, we will get to know about a successful criminal lawyer who had an extra martial affair with her secretary. However, an attempt to ...","2015-11-24 01:45:00","2015-11-24",6300,"none","UCpEhnqL0y41EpW2TvWAHD7Q","SET India",39774727,30529,20986,0,1981,43,NA,"Shows",39000
"211",211,"kHSFpGBFGHY","Johny Johny Yes Papa and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV","Johny Johny Yes Papa and Many More Videos | Popular Nursery Rhymes Collection by ChuChu TV 00:08 - Johny Johny Yes Papa 01:47 - Head Shoulders ...","2014-11-14 15:46:36","2014-11-14",56760,"none","UCBnZ16ahKA2DZ_T5W0FPUXg","ChuChu TV Nursery Rhymes & Kids Songs",1262106230,1151168,742444,0,31227,27,"hi","Educação",1262000
"216",216,"k4yXQkG2s1E","Kala Chashma | Baar Baar Dekho | Sidharth M Katrina K | Prem Hardeep Badshah Neha K Indeep Bakshi","Download from iTunes : http://apple.co/2asZFmS Stream it on JioMusic : http://bit.ly/2r3LObm Wynk : http://bit.ly/2ap7HM7 | Saavn : http://bit.ly/2a3Fic6 | Gaana ...","2016-07-27 04:28:59","2016-07-27",16080,"none","UCFFbwnve3yF62-tVXkTyHqg","Zee Music Company",299327876,825599,125873,0,23838,10,"hi","Música",299000
"221",221,"_lsvmj4SL9g","Tashan-e-Ishq - Episode 231  - May 26, 2016 - Webisode","Watch full episodes of Tashan e Ishq at http://www.ozee.com/shows/tashan-e-ishq Enjoy the world of entertainment with your favourite TV Shows, Movies, Music ...","2016-05-26 23:19:32","2016-05-26",83940,"none","UCppHT7SZKKvar4Oc9J4oljQ","zeetv",29597361,21401,10841,0,1323,24,NA,"Entretenimento",29000
"226",226,"1tVL11ULjYY","The Humma Song <U+0096> OK Jaanu | Shraddha Kapoor | Aditya Roy Kapur | A.R. Rahman, Badshah, Tanishk","The Foot Tapping Song of 2016 is here!. Witness the sensuous chemistry between Shraddha Kapoor and Aditya Roy Kapur in this brand new song from OK ...","2016-12-15 10:20:26","2016-12-15",37200,"none","UC56gTxNs4f9xZ7Pa2i5xNzg","Sony Music India",216449808,799879,87786,0,33770,10,"en-US","Música",216000
"231",231,"wo0ospGvxXc","Ding Dang - Video Song | Thank You for 100+ Million Views","Thank You for your 100+ Million Views on Ding Dang: http://bit.ly/100MillionViewsAndCounting You can download the Munna Michael game here: ...","2017-06-19 10:59:45","2017-06-19",39540,"none","UCX52tYZiEh_mHoFja3Veciw","Eros Now",144370081,461054,61098,0,12187,10,"en","Música",144000
"236",236,"m_EO7uKHQz8","Rangrasiya - <U+0930><U+0902><U+0917><U+0930><U+0938><U+093F><U+092F><U+093E> - 20th June 2014 - Full Episode(HD)","Rudra takes Paro and tells her everything about how he had felt about her, during various incidents. Paro smiles and seeing Rudra's grim face tells him that he is ...","2014-06-20 17:44:55","2014-06-20",63840,"none","UC55IWqFLDH1Xp7iu1_xknRA","Colors TV",7250040,17065,1992,0,1528,43,NA,"Shows",7000
"241",241,"EA_fbT6oN2k","Johny Johny Yes Papa Nursery Rhyme |  Part 3 -  3D Animation Rhymes & Songs for Children","Johny Johny Yes Papa Nursery Rhyme | Part 3 - 3D Animation English Nursery Rhymes & Songs for Children.","2017-01-26 06:29:18","2017-01-26",23340,"none","UCsPF3cApzCohxPp5oKdoWSQ","CVS 3D Rhymes",514867302,869218,497169,0,35045,27,NA,"Educação",514000
"246",246,"Wd2B8OAotU8","Nashe Si Chadh Gayi Song | Befikre | Ranveer Singh | Vaani Kapoor | Arijit Singh","The party anthem of 2016-17, 'Nashe Si Chadh Gayi' becomes the FIRST EVER Hindi song to hit 300 MILLION VIEWS on YouTube. Play it on loop! Click to ...","2016-10-18 07:32:24","2016-10-18",27120,"none","UCbTLwN10NoCU4WDzLf1JMOA","YRF",304363601,675519,80570,0,38784,10,"en","Música",304000
"251",251,"t1PJ60mrHQc","""Language Challenge"" - Italian VS Swedish","Hi marzipans, today we decided to do something a little different and we though you might wanted to see it! :D WHERE TO FIND ME Tweet me @MarziaPie ...","2013-07-10 15:21:37","2013-07-10",55260,"none","UCe9oofjVfJzapRyVlt57x8Q","Marzia",23127310,567038,9034,0,61952,24,NA,"Entretenimento",23000
"256",256,"iVRcKkNyjhA","FAVIJ - HATERS IN ITALIA - Parodia Occidentali's Karma","Una dedica a tutti coloro che, inconsapevolmente, ci hanno dato un aiuto non indifferente negli ultimi anni. Sarete sempre nei nostri cuori ciccini belli. Volevo ...","2017-03-11 11:00:03","2017-03-11",39600,"none","UCSFC5Cio8zaLQDFPxA7y_HQ","<U+279C>FavijTV<U+0099>",13855134,480897,15964,0,47615,20,NA,"Jogos",13000
"261",261,"IlWajunsVrI","GLI EFFETTI DI ROVAZZI SU MIA NONNA - PARODIA Tutto Molto Interessante - iPantellas","13O.OOO LIKE SE VUOI UN NUOVO VIDEO <U+279C> Gioved<ec> 8 Dicembre ALLE 17:00 ci trovate a MILANO per l'evento Oreo - Tutte le info QUI: ...","2016-12-06 18:00:01","2016-12-06",64800,"none","UCD-aXv7CMezGSTfxmKAD6Ag","iPantellas",12576265,411611,7758,0,19683,24,"it","Entretenimento",12000
"266",266,"W4jY43u28gc","LA CROSSBAR CHALLENGE LEGGENDARIA!!","Shop Magliette:http://www.bit.ly/matesitalia 2OO.OOO MI PIACE!! OBBLIGATORI :D Canale i2Bombers: https://www.youtube.com/user/i2bomber MATES: Anima: ...","2015-12-17 12:00:00","2015-12-17",43200,"none","UCMggu4tZ2N6SD4FebIbMDpA","St3pNy",5450176,452841,3310,0,13941,24,NA,"Entretenimento",5000
"271",271,"dhsy6epaJGs","PULCINO PIO - El Pollito Pio (Official video)","Suscribirse a #pulcinopiotv: http://bit.ly/2nJdqox PULCINO PIO - El Pollito Pio (Official video) iTunes: http://apple.co/2mTYAY7 Facebook: ...","2012-11-29 09:27:58","2012-11-29",34020,"none","UCW4w39HG16HSuDkvLu4AIaA","PULCINO PIO",1035189342,1680562,573770,0,126475,10,NA,"Música",1035000
"276",276,"5dFGtHaFYoI","BIG MONEY ILLUMINATI - OFFICIAL VIDEO SONG (ilvostrocarodexter)","Ringrazio Snitecs per la canzone: https://www.youtube.com/user/iffsnitecs <U+2606> Pagina Facebook ...","2015-10-07 12:30:00","2015-10-07",45000,"none","UCNo7m7faHS9t3nSDfWXvGww","ilvostrocaroDexter",5971222,205771,10510,0,18629,20,NA,"Jogos",5000
"281",281,"B7jg9SgpxOI","MATES - FIGO (WIGGLE PARODIA)","Ringraziamenti Testi: Luca Virno Snitecs: https://www.youtube.com/user/iffsnitecs Comparse nel Video: SabriGamer: https://www.youtube.com/user/lasabrigamer ...","2016-09-02 09:00:01","2016-09-02",32400,"none","UCHZl_sLl4kGZSkrPBrWb_aQ","Anima",9138086,328053,17121,0,14561,10,"it","Música",9000
"286",286,"noY6ggSNTF0","Gabry Ponte - Che ne sanno i 2000 feat. Danti (Official Video)","Gabry Ponte - Che ne sanno i 2000 feat. Danti #CheNeSannoi2000 <e8> su: Spotify <U+279F> http://spoti.fi/2adkJfM iTunes <U+279F> http://apple.co/29DR2Vr Apple Music ...","2016-07-26 10:00:02","2016-07-26",36000,"none","UC9PZVgJF-mX4aDDzLE4z5Zg","Warner Music Italy",57305189,457008,50972,0,36365,10,NA,"Música",57000
"291",291,"xDCVhMTPHvY","CENTRA IL CESTINO CHALLENGE - CALCIO CON I MATES E I2BOMBER","Iscriviti: http://bit.ly/JoinSurreal I2Bomber: https://www.youtube.com/user/i2bomber MAGLIETTE: http://bit.ly/matesitalia <U+25BB>Pagina Facebook: ...","2016-01-02 12:00:02","2016-01-02",43200,"none","UC3V8twsHOUBGvM_xsQ_4ZJg","SurreaIPower",1743808,97330,722,0,1210,20,"it","Jogos",1000
"296",296,"TQhk2K-vaWk","TERRIFICANTE...Ladro Tenta di Entrare in casa mentre Registro Moto gp 15 (non <e8> uno scherzo)","Ragazzi sono su Instagram: https://instagram.com/cicciogamer_89 Key di Gioco ad un Ottimo Prezzo : http://www.instant-gaming.com/igr/CiccioGamer89/ Ecco ...","2015-07-31 17:00:01","2015-07-31",61200,"none","UC1jTVZboWRPpjGKAN921M5w","CiccioGamer89",4956042,171382,7650,0,9748,20,"zxx","Jogos",4000
"301",301,"tWs1E2BfNZE","QUAL <c9> A SENHA DO WIFI - Par<f3>dia Adele - Hello","MEU INSTAGRAM: http://goo.gl/uYVFV2 MEU TWITTER: http://goo.gl/z6Wwdj MINHA P<c1>GINA: http://goo.gl/vuB0a1 MEU FACE: http://goo.gl/q2QSUj CANAIS ...","2015-12-05 23:00:00","2015-12-05",82800,"none","UC3KQ5GWANYF8lChqjZpXsQw","whinderssonnunes",58583168,2869439,52603,0,144979,23,NA,"Comédia",58000
"306",306,"_P7S2lKif-A","MC Fioti - Bum Bum Tam Tam (KondZilla)","Inscreva-se no Canal da KondZilla e assista os clipes antes de todo mundo. https://goo.gl/HXfRT5 Escute a playlist do KondZilla no Spotify: ...","2017-03-08 22:00:01","2017-03-08",79200,"none","UCffDXn7ycAzwL2LDlbyWOTw","Canal KondZilla",314116132,2270191,155254,0,80555,10,NA,"Música",314000
"311",311,"ISFaJenCMow","RETROSPECTIVA DE FAVELA 2015 #RewindBr","J<e1> que no BR ningu<e9>m faz, a gente se re<fa>ne e improvisa! CLIQUE EM GOSTEI, FAVORITE, COMENTE E SE INSCREVA! Mauricio Cid ...","2015-12-26 16:59:54","2015-12-26",61140,"none","UCPHXtOVmjvbP9OJihsd7gCg","CanalCanalha",22200122,1676396,14682,0,119478,23,NA,"Comédia",22000
"316",316,"2Lp7XO6oWCM","N<e3>o Faz Sentido! - Crep<fa>sculo","Siga-me no Twitter: http://www.twitter.com/felipeneto Conhe<e7>a e compre na loja: http://www.felipeneto.net Veja meu segundo canal (VLOG): ...","2010-07-05 20:25:32","2010-07-05",73500,"none","UCV306eHqgo0LvBf3Mh36AHg","Felipe Neto",15370684,0,0,0,53933,24,NA,"Entretenimento",15000
